Occurrence_Code,acft_model,num_eng,eng_type,crew_category,crew_age,latitude,longitude,light_cond,vis_sm,wx_temp,wind_dir_deg,wind_vel_kts,altimeter,code
100900,ZENITH ZODIAC CH 650,1.0,REC,PLT,60.0,272950N,0802221W,DAYL,10.0,82.0,197.19051774256303,6.241436798708538,30.1100006103516,NONE
402401,PA 28-181,1.0,REC,PLT,46.0,342759N,1051750W,NITE,5.0,19.0,110.0,14.0,30.2000007629395,UNK
300240,140,1.0,REC,PLT,30.0,322624N,1141648W,DAYL,10.0,50.0,181.8668135557893,12.0,30.0100002288818,NET
300240,140,1.0,REC,PASS,40.0,322624N,1141648W,DAYL,10.0,50.0,181.8668135557893,12.0,30.0100002288818,NET
552096,YMF F5C,1.0,REC,PASS,61.0,351414N,1203827W,DAYL,10.0,59.0,200.0,5.0,30.2000007629395,AUTR
100900,PA34,2.0,REC,PLT,48.0,003721N,0088108W,NDRK,6.0,37.0,60.0,6.0,30.2099990844727,UNK
402341,172D,1.0,REC,PLT,40.0,364315N,0119493W,DAYL,30.0,57.0,169.84160987628738,9.633906851797216,30.0400009155273,FSS
402341,172D,1.0,REC,PASS,63.0,364315N,0119493W,DAYL,30.0,57.0,169.84160987628738,9.633906851797216,30.0400009155273,FSS
402341,172D,1.0,REC,PASS,63.0,364315N,0119493W,DAYL,30.0,57.0,169.84160987628738,9.633906851797216,30.0400009155273,FSS
552230,PA 28R-200,1.0,REC,PLT,56.0,344836N,0111480W,DAYL,10.0,41.0,234.50333333333333,8.598166666666666,30.3899993896484,NWS
452402,152,1.0,REC,PLT,56.0,033538N,0945315W,DAYL,10.0,57.0,300.0,6.0,30.2900009155273,UNK
508341,P206,1.0,REC,PLT,47.0,243322N,0814619W,DAYL,10.0,81.0,120.0,14.0,30.2099990844727,FSS
402341,172M,1.0,REC,PLT,44.0,254126N,0079935W,DAYL,10.0,79.0,150.0,13.0,30.0100002288818,FSS
